1.646621897161E-3	3.229742080774E0
1.756068629532E-3	2.683940721435E0
1.872790005370E-3	2.319013324540E0
2.013400309357E-3	1.965037962864E0
2.130022933777E-3	1.617129169297E0
2.289946455027E-3	1.383705679579E0
2.422587522044E-3	1.207272643287E0
2.604476984789E-3	1.022993939053E0
2.755336672153E-3	8.839005111551E-1
2.938476830722E-3	7.563144495127E-1
3.133789845704E-3	6.534806346334E-1
3.315309037138E-3	5.757390276011E-1
3.564224617736E-3	5.023279068328E-1
3.831828943658E-3	4.382772643266E-1
4.086520781299E-3	3.899179258991E-1
4.358141331864E-3	3.502908336469E-1
4.647815803463E-3	3.116398828649E-1
4.917032250040E-3	2.799681346136E-1
5.243854766889E-3	2.490765623768E-1
5.775266803617E-3	2.173173994148E-1
6.208877629464E-3	1.952315806754E-1
6.728954601690E-3	1.753903285962E-1
7.351492962977E-3	1.575655294019E-1
7.903447884417E-3	1.443375760396E-1
8.704382983525E-3	1.309381771299E-1
9.433492078168E-3	1.176310197005E-1
1.030624439219E-2	1.056762595837E-1
1.153476453900E-2	9.493645356491E-2
1.301399034955E-2	8.364229720445E-2
1.433282762195E-2	7.587746882976E-2
1.578531581188E-2	7.018791497741E-2
1.710754822537E-2	6.492498346155E-2
1.884122649260E-2	5.889775357120E-2
2.075059564754E-2	5.343005405289E-2
2.285346019787E-2	4.846994160217E-2
2.476774472624E-2	4.483549850306E-2
2.749801281622E-2	4.107146530732E-2
3.004202876678E-2	3.873934979659E-2
3.282140780338E-2	3.653965621711E-2
3.673376997904E-2	3.514303055894E-2
4.144453286356E-2	3.282615593512E-2
4.713705499600E-2	3.096222469134E-2
5.318194201106E-2	2.977878067696E-2
6.048663001275E-2	2.836288163856E-2
6.769672912893E-2	2.727879020648E-2
7.761690692408E-2	2.623613512237E-2
8.757055024895E-2	2.498867912698E-2
9.644494638192E-2	2.426885938218E-2
1.096919286473E-1	2.334125044393E-2
1.227673748678E-1	2.266888625643E-2
1.363006153707E-1	2.159104312376E-2
1.550218848857E-1	2.096909511793E-2
1.735007314501E-1	2.016761039415E-2
1.910832887810E-1	1.958666555535E-2
2.121473223316E-1	1.902245531719E-2
2.355333460064E-1	1.865537353147E-2
2.573240329601E-1	1.847449762554E-2
2.903234366275E-1	1.829537542844E-2
3.328670003491E-1	1.776836187943E-2
3.878343650457E-1	1.759608612486E-2
4.518786619058E-1	1.742548069510E-2
5.264987930138E-1	1.742548069510E-2
5.940173454054E-1	1.742548069510E-2
6.976990349544E-1	1.759608612486E-2
8.462738416571E-1	1.759608612486E-2
1.043135225664E0	1.759608612486E-2
1.306643779419E0	1.759608612486E-2
1.559599547235E0	1.759608612486E-2
1.891715817511E0	1.759608612486E-2
2.294556151010E0	1.794232431224E-2
2.805659315139E0	1.794232431224E-2
3.348812481650E0	1.794232431224E-2
3.965092060496E0	1.776836187943E-2
4.848300386991E0	1.794232431224E-2
5.786892500859E0	1.794232431224E-2
6.742500086534E0	1.794232431224E-2
7.792970940199E0	1.776836187943E-2
8.652027754592E0	1.776836187943E-2
9.919883007254E0	1.776836187943E-2
